Latitude,Longitude,School Code
37.3069985,-122.2607079,113266
37.5127873,-122.3334037,113332
37.4728202,-122.2863082,117143
37.5096623,-122.3367223,128652
37.5124322,-122.33661,4130076
37.525841,-122.263004,6069363
37.7063208,-122.4133047,6043392
37.5127987,-122.2994127,121111
37.5094698,-122.3188472,4168866
37.5240109,-122.2822173,6043434
37.5166468,-122.3060488,6043442
37.5097295,-122.3227295,6043459
37.5249776,-122.2748188,6043475
37.5113396,-122.3119946,6043483
37.5378355,-122.2355379,6114771
37.6913622,-122.4184108,6043491
37.6859706,-122.4080569,6043509
37.7069303,-122.4385831,6043517
37.5769484,-122.3807283,133157
37.5917939,-122.3857558,4168882
37.5884526,-122.3863179,6043525
37.588388,-122.3886786,6043541
37.5880802,-122.3791195,6043566
37.579593,-122.3567102,6043574
37.579646,-122.369779,6043590
37.5805512,-122.3404663,6043608
37.4640411,-122.436025,4130027
37.4737285,-122.4273183,4132817
37.4215185,-122.3787597,4168890
37.4626791,-122.4360608,6043616
37.49965,-122.4640251,6043624
37.5431473,-122.5079113,6043632
37.4201373,-122.3238677,6043657
37.4624555,-122.4318997,6043665
37.5627393,-122.3381848,4168908
37.5686579,-122.3621159,6043673
37.5618205,-122.3372912,6043681
37.550014,-122.367407,6043699
37.5658681,-122.3636936,6043707
34.2758118,-118.7979517,112284
37.678776,-122.4838464,4168916
37.695055,-122.4822284,6043723
37.6904736,-122.4591084,6043756
37.6776864,-122.4777228,6043772
37.6767607,-122.4861439,6043780
37.6621192,-122.4878301,6043798
37.694376,-122.4781076,6043806
37.7073128,-122.4461278,6043822
37.6951435,-122.4544961,6043848
37.685246,-122.4760905,6043855
37.6767212,-122.4847635,6043871
37.6910287,-122.4898204,6043897
37.7050011,-122.4796498,6043905
37.7039537,-122.4647721,6043913
37.6894161,-122.4578283,6115364
37.6663538,-122.4762437,127548
37.6952261,-122.4659472,4133393
37.6386407,-122.4870567,4135075
37.5946419,-122.4761369,4137535
37.691276,-122.4640774,4137592
37.6840558,-122.4833425,4137790
37.6680207,-122.4771496,4168924
37.5878975,-122.4784096,105874
37.6101767,-122.4806894,132217
37.6380164,-122.4913235,4130126
37.6101767,-122.4806894,4168932
37.5975895,-122.4969339,6043939
37.6501058,-122.4899163,6044044
37.6141798,-122.4838796,6044051
37.6531537,-122.4796281,6044069
37.2476057,-122.3646237,4135331
37.3240663,-122.2782739,6044077
37.2562893,-122.3785057,6044085
37.4294933,-122.2028549,4168957
37.4278331,-122.2019191,6044093
37.4189649,-122.2143323,6044127
37.4637629,-122.1862822,4168965
37.4648602,-122.1861609,6044135
37.4393684,-122.1954903,6044150
37.4668114,-122.1718804,6044168
37.4304659,-122.1919446,6044176
37.5928567,-122.4127472,4168973
37.6050927,-122.4048183,6044200
37.6121316,-122.400365,6044226
37.6020762,-122.4191181,6044234
37.590955,-122.39073,6044259
37.5978323,-122.4011537,6044267
37.3802179,-122.2313539,4168981
37.371223,-122.2150194,6044275
37.3806291,-122.217434,6044283
37.4620099,-122.1310476,126649
37.4679738,-122.127809,134197
37.4622363,-122.1307983,135608
37.4735964,-122.1457424,136093
37.4622568,-122.1343408,4168999
37.4765924,-122.1609774,6044309
37.4620099,-122.1310476,6044317
37.478295,-122.1373627,6044325
37.4622568,-122.1343408,6044333
37.4726528,-122.1456693,6044341
37.4726528,-122.1456693,6044366
37.4621,-122.157303,6044416
37.4783218,-122.2056514,127282
37.478913,-122.206062,132068
37.459974,-122.237652,132076
37.488453,-122.22739,4169005
37.4822645,-122.2634719,6044424
37.4597503,-122.2561277,6044432
37.4792611,-122.2061753,6044457
37.4698553,-122.2027615,6044473
37.4730775,-122.2322028,6044481
37.455949,-122.2338161,6044499
37.4816628,-122.2154838,6044507
37.4746697,-122.2410602,6044523
37.4597951,-122.2385814,6044531
37.4808891,-122.2349832,6044556
37.466612,-122.243932,6044572
37.458115,-122.22021,6044580
37.4809908,-122.1937167,6044598
37.4746697,-122.2410602,6102941
37.4542895,-122.2434583,6114037
37.480951,-122.2348359,6115026
37.6223899,-122.4157848,4169013
37.6245379,-122.4529163,6044010
37.6244336,-122.4057955,6044614
37.6244576,-122.4158938,6044648
37.615042,-122.412867,6044663
37.6139828,-122.4360253,6044671
37.6161646,-122.4194726,6044697
37.6314204,-122.4446006,6044705
37.4992284,-122.2603682,133645
37.501619,-122.2469167,4169021
37.5037447,-122.2744289,6044721
37.4955895,-122.265041,6044739
37.5009534,-122.2617287,6044747
37.4925189,-122.2748,6044754
37.5086592,-122.2859651,6044770
37.4914156,-122.2536462,6044788
37.5094745,-122.285658,6112213
37.5663263,-122.2948882,136242
37.5660877,-122.2736234,4169039
37.5303635,-122.3092709,6044796
37.5693268,-122.3016472,6044804
37.5674899,-122.2578366,6044812
37.5526052,-122.3317847,6044838
37.5393442,-122.3095558,6044846
37.5499646,-122.3215136,6044853
37.5593662,-122.2486552,6044861
37.5516543,-122.2991384,6044887
37.5660877,-122.2736234,6044895
37.5377321,-122.2905053,6044903
37.524102,-122.350545,6044911
37.5319209,-122.3045817,6044945
37.5763316,-122.3278906,6044952
37.5391113,-122.3160664,6044960
37.5753737,-122.3162435,6044978
37.568871,-122.3425758,6044986
37.5614131,-122.2966973,6044994
37.5617043,-122.3130547,6045017
37.561649,-122.261289,6112650
37.6124874,-122.4273174,128165
37.5326436,-122.2637482,129759
37.6124874,-122.4273174,135814
37.5507309,-122.3298833,4130217
37.5822503,-122.3467952,4130472
37.6097843,-122.4063642,4130738
37.5323369,-122.3118321,4133070
37.5942562,-122.3905076,4134557
37.5776939,-122.329156,4136370
37.5782327,-122.3319905,4169047
37.486738,-122.2101751,112722
37.4735575,-122.2042644,119503
37.4631717,-122.1318787,126722
